[Head]
Converter = SampleTxtConverter
Version = 1
[Item]
SampleID = Exp343.2
TestDate = 2025-06-03
Operator = 
Length = 85
Width = 20
Thickness = 0.117
So = 2.34
Lo = 100
Fm = 29.21
Rm = 12.4829059
Bf(kN/mm) = 1.4605
Fb = 0.03
Rb = 0.01282051
Fy = /
Ry = 
E(GPa) = -0.1112673
Slope = -2.603656
[Curve]
[Specimen0]
Time	Load	Extension	Displacement
0.000	0.00	0.0000	0.0000
0.020	0.00	0.0000	0.0000
0.040	0.00	0.0000	0.0000
0.060	0.00	0.0000	0.0000
0.080	0.00	0.0000	0.0000
0.100	0.00	0.0000	0.0000
0.120	0.00	-0.0020	0.0000
0.140	0.00	-0.0020	0.0000
0.160	0.00	-0.0020	0.0000
0.180	0.00	-0.0020	0.0000
0.200	0.00	-0.0020	0.0000
0.220	0.00	-0.0020	0.0000
0.240	0.00	-0.0020	0.0000
0.260	0.00	-0.0020	0.0000
0.280	0.00	-0.0030	0.0000
0.300	0.00	-0.0030	0.0000
0.320	0.00	-0.0030	0.0000
0.340	0.00	-0.0050	0.0000
0.360	0.00	-0.0050	0.0000
0.380	0.00	-0.0060	-0.0100
0.400	0.00	-0.0060	-0.0100
0.420	0.00	-0.0080	-0.0100
0.440	0.00	-0.0090	-0.0100
0.460	0.00	-0.0090	-0.0100
0.480	0.01	-0.0110	-0.0100
0.500	0.01	-0.0110	-0.0100
0.520	0.01	-0.0120	-0.0100
0.540	0.01	-0.0140	-0.0100
0.560	0.01	-0.0140	-0.0100
0.580	0.02	-0.0150	-0.0200
0.600	0.02	-0.0150	-0.0200
0.620	0.02	-0.0170	-0.0200
0.640	0.02	-0.0180	-0.0200
0.660	0.02	-0.0180	-0.0200
0.680	0.03	-0.0200	-0.0200
0.700	0.03	-0.0210	-0.0200
0.720	0.04	-0.0230	-0.0200
0.740	0.04	-0.0240	-0.0200
0.760	0.04	-0.0240	-0.0200
0.780	0.04	-0.0260	-0.0300
0.800	0.04	-0.0270	-0.0300
0.820	0.05	-0.0290	-0.0300
0.840	0.05	-0.0300	-0.0300
0.860	0.06	-0.0320	-0.0300
